Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
Snacks - Day 9,2026-08-09,16:45,2026-08-09,18:00,Pani Puri (8 Pcs) | Onions | Ginger Tea | Coffee | Milk,,False
Dinner - Day 9,2026-08-09,19:30,2026-08-09,21:00,"Beetroot & Carrot Salad | Pulka | White Rice | Red Lentil Dal | Rasam | Ragi Idly, Groundnut Chutney | Dondakaya Fry | Vegetable Kurma Gravy | Thick Curd | Papaya Cut Fruit | Tomato Pickle | Milk + Cofee Powder",,False
Breakfast - Day 10,2026-08-10,07:15,2026-08-10,09:00,Vegetable Rava Idly (Bangalore Style) | Poori - 3 Pcs Big | Groundnut Chutney | Chole Curry | White Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 10,2026-08-10,12:30,2026-08-10,14:00,"Beetroot & Cucumber Salad | Chapathi | White Rice | Palak Dal | Sambar | Tomato Rice | Potato Fry (Andha Style) | Drumstick Tomato Masala | Rava Vadiyalu | Butter Milk | Sorakaya Perugu Chutney, Ghee + Podi | Sweet Boondi",,False
Snacks - Day 10,2026-08-10,16:45,2026-08-10,18:00,Sweet Corn Masala | Tomato/Mint Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 10,2026-08-10,19:30,2026-08-10,21:00,Onions & Lemon Salad | Methi Roti | White Rice | Pesara Pappu | Tomato Rasam | Bhagara Rice | Chettinad Chicken Curry (Non-Veg) | Paneer Pepper Fry(Veg) | Bhindi Masala | Thick Curd | Mixed Fruit Salad | Gongura Pickle | Milk + Cofee Powder,,False
Breakfast - Day 11,2026-08-11,07:15,2026-08-11,09:00,Onion Dosa - 2 Pcs Std Size | Pav Bhaji | Coconut Chutney | Mint Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 11,2026-08-11,12:30,2026-08-11,14:00,Carrot & Cucumber Salad | Roti | White Rice | Amaranthus Dal | Beetroot Tomato Rasam | Bisbele Bath | Kakarakaya (Bitter Gourd) Fry | Rajma Masala | Potato Chips | Dahi Vada | Dosakaya Tomato Chutney,,False
Snacks - Day 11,2026-08-11,16:45,2026-08-11,18:00,Kachori 1 Big Pc | Tomato Sauce | Masala Tea | Coffee | Milk,,False
Dinner - Day 11,2026-08-11,19:30,2026-08-11,21:00,Beetroot & Carrot Salad | Pulka | White Rice | Dal Makhani | Sambar | Mushroom Biryani | Snake Gourd Poriyal | Aloo Mutter Curry | Thick Curd | Guava Fruit | Tomato Pickle | Milk + Cofee Powder,,False
Breakfast - Day 12,2026-08-12,07:15,2026-08-12,09:00,"Onion Rava Bonda (Big size 3pcs, if not 4pcs) | Vegetable Moon Dal Kitchidi | Groundnut Chutney + Sambar | Mango Pickle | White Bread+Butter+Jam | Sprouts (1 small cup) | Masala Onion Omlet | Tea | Coffee | Milk",,False
Lunch - Day 12,2026-08-12,12:30,2026-08-12,14:00,Onions & Lemon Salad | Palak Roti | White Rice | Dal | Pachi Pulusu | Special Rice | Boiled Stir Fry Chicken Masala (Dry) | Boiled Stir Fry Paneer Masala (Dry) | Vegetable Jalfrezi | Chips/Fryums/Papad | Butter Milk/Lassi/Lemon Water | Fresh Vegetable Chutney | Badusha,,False
Snacks - Day 12,2026-08-12,16:45,2026-08-12,18:00,Vada Pav 2 Pcs | Mint Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 12,2026-08-12,19:30,2026-08-12,21:00,"Beetroot & Carrot Salad | Chapathi | White Rice | Tomato Dal | Rasam | Broken Wheat Rava Upma, Coconut Chutney | Carrot Beans Poriyal | Arbi Ka Gravy | Thick Curd | Pineapple Cut Fruit | Lemon Pickle | Milk + Cofee Powder",,False
Breakfast - Day 13,2026-08-13,07:15,2026-08-13,09:00,Mix Veg Uttappam (2 pcs standard size) | Poha | Sambar | Coconut Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Poach | Tea | Coffee | Milk,,False
Lunch - Day 13,2026-08-13,12:30,2026-08-13,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Ridge Gourd Dal | Sambar | Pudina Rice | Guthi Vankaya Curry | Kala Chana Masala | Finger Fryums | Lemon Water | Potlakaya Perugu Chutney,,False
Snacks - Day 13,2026-08-13,16:45,2026-08-13,18:00,Sambar Vada | Masala Tea/Coffee/Milk,,False
Dinner - Day 13,2026-08-13,19:30,2026-08-13,21:00,Beetroot & Carrot Salad | Roti | White Rice | Dal Fry | Beetroot Tomato Rasam | Gobhi Manchuria | Rajma Masala | Thick Curd | Banana | Ginger Pickle | Milk + Cofee Powder,,False
Breakfast - Day 14,2026-08-14,07:15,2026-08-14,09:00,Uggani + Mirchi Bajji | Basin Chilla (2 Pcs thin) | Coconut Chutney | Tomato Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 14,2026-08-14,12:30,2026-08-14,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal Tadka | Rasam | Jeera Rice | Raw Banana Fry | Lobia Masala (Cowpeas in Onion Tomato Gravy) | Papad | Lassi | Beerakaya Chutney | Poornalu,,False
Snacks - Day 14,2026-08-14,16:45,2026-08-14,18:00,Onion Soft Pakoda | Tomato Chutney | Ginger Tea | Coffee | Milk,,False
Dinner - Day 14,2026-08-14,19:30,2026-08-14,21:00,Onions & Lemon Salad | Missi Roti | White Rice | Dal | Sambar | Dhaba Style Chicken Curry (Non-Veg) | Paneer Butter Masala (Veg) | Vegetable Kolhapuri | Thick Curd | Grapes | Fresh Vegetable Chutney/Pickle | Milk + Cofee Powder,,False
Breakfast - Day 15,2026-08-15,07:15,2026-08-15,09:00,Masala Ghee Roast Dosa | Vada Pav | Groundnut Chutney | Mint Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 15,2026-08-15,12:30,2026-08-15,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Mudda Pappu | Beetroot Tomato Rasam | Pulihora (Tamarind Rice) | Majiga Pulusu | Chole Soya Chunks Curry | Papad | Lemon Water | Avakaya (Mango Pickle),,False
Snacks - Day 15,2026-08-15,16:45,2026-08-15,18:00,Punugulu 10 Pcs Std Size | Groundnut/Coconut Chutney | Ginger Tea | Coffee | Milk,,False
