Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
Lunch - Day 24,2026-09-24,12:30,2026-09-24,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Ridge Gourd Dal | Sambar | Pudina Rice | Guthi Vankaya Curry | Kala Chana Masala | Finger Fryums | Lemon Water + Sabja Seeds | Potlakaya Perugu Chutney | Ghee + Podi,,False
Snacks - Day 24,2026-09-24,16:45,2026-09-24,18:00,Sambar Vada 2 Pcs | Masala Tea/Coffee/Milk,,False
Dinner - Day 24,2026-09-24,19:30,2026-09-24,21:00,"Beetroot & Carrot Salad | Roti | White Rice | Dal Fry | Beetroot Tomato Rasam | Gobhi Manchuria, Noodles, Tomato Sauce | Rajma Masala | Rasam | Thick Curd | Banana | Ginger Pickle | Milk + Cofee Powder",,False
Breakfast - Day 25,2026-09-25,07:15,2026-09-25,09:00,Uggani + Mirchi Bajji | Pudina Chapathi (Hand Made) 2 Pcs | Dal Chutney | Aloo Mutter Curry | White Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 25,2026-09-25,12:30,2026-09-25,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal Tadka | Rasam | Jeera Rice | Raw Banana Fry | Lobia Masala (Cowpeas in Onion Tomato Gravy) | Papad | Lassi | Beerakaya Chutney | Poornalu,,False
Snacks - Day 25,2026-09-25,16:45,2026-09-25,18:00,Vada Pav 2 Pcs | Mint Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 25,2026-09-25,19:30,2026-09-25,21:00,Onions & Lemon Salad | Missi Roti | White Rice | Dal | Sambar | Kadai Chicken (Non-Veg) | Kadai Paneer (Veg) | Amritsari Chole | Thick Curd | (Watermelon + Muskmelon + Papaya) Cut Fruit | Fresh Vegetable Chutney/Pickle | Milk + Cofee Powder,,False
Breakfast - Day 26,2026-09-26,07:15,2026-09-26,09:00,Masala Ghee Roast Dosa 2 Pcs Std Size | Vegetable Moon Dal Kitchidi | Groundnut Chutney | Sambar | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 26,2026-09-26,12:30,2026-09-26,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Mudda Pappu | Beetroot Tomato Rasam | Pulihora (Tamarind Rice) | Cauli Flower Fry | Chole Soya Chunks Curry | Papad | Majiga Pulusu | Avakaya (Mango Pickle) | Ghee + Podi,,False
Snacks - Day 26,2026-09-26,16:45,2026-09-26,18:00,Mysore Bonda 2 Pcs Std Size | Coconut Chutney | Masala Tea | Coffee | Milk,,False
